127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.001286
127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000540
127.0.0.1, 2016-03-26 00:47:30, GET, /GRS, HTTP/1.1, 500, 0.041774
127.0.0.1, 2016-03-26 00:47:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2016-03-26 00:47:46, GET, /GRS, HTTP/1.1, 500, 0.025991
127.0.0.1, 2016-03-26 00:47:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2016-03-26 00:47:47, GET, /GRS, HTTP/1.1, 500, 0.027195
127.0.0.1, 2016-03-26 00:47:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000241
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS, HTTP/1.1, 200, 0.041480
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000340
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000503
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000446
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000462
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000317
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2016-03-26 00:47:57, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000825
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/images/background.jpg, HTTP/1.1, 304, 0.000311
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000474
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000337
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-03-26 00:47:58, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000465
127.0.0.1, 2016-03-26 00:48:02, GET, /GRS, HTTP/1.1, 500, 0.033578
127.0.0.1, 2016-03-26 00:48:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2016-03-26 00:48:06, GET, /GRS, HTTP/1.1, 500, 0.029805
127.0.0.1, 2016-03-26 00:48:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2016-03-26 00:48:11, GET, /GRS, HTTP/1.1, 500, 0.033683
127.0.0.1, 2016-03-26 00:48:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2016-03-26 00:48:16, GET, /GRS, HTTP/1.1, 500, 0.038295
127.0.0.1, 2016-03-26 00:48:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2016-03-26 00:48:20, GET, /GRS, HTTP/1.1, 200, 0.036574
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000493
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000458
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000483
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000487
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000914
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000879
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000438
